Beta,Sem_Filtro,Zr,Mo,Al
2.5,9,15.7,4.8,5.9
2.6,10.2,14.6,5.1,7.5
2.7,9.5,14.6,4.6,5.5
2.8,8.9,13.7,5.1,6.8
2.9,8.7,14.2,4.7,8.9
3,10.6,12.2,4.1,6.7
3.1,11.2,16.6,3.8,7.5
3.2,13,15.2,4.8,9.7
3.3,11.1,14.5,5,9.5
3.4,13.2,14.7,4.7,10.3
3.5,23.4,24.8,5.7,19.8
3.6,73.3,51.7,10.9,61.8
3.7,187.6,113.6,22.2,158.6
3.8,334,186.6,34.4,290.9
3.9,506.5,272.6,49,446.7
4,641.8,331.9,49.8,558.3
4.1,735,372.3,49.8,643.4
4.2,820.2,392.5,45.8,695.6
4.3,866.4,400.5,44.1,765.5
4.4,940.1,402.7,40.5,788.2
4.5,970.2,402.4,34.4,807.6
4.6,1003.3,392,26.4,845.9
4.7,1015.1,376.7,24.2,826.6
4.8,1014,352.9,20.3,846.4
4.9,1014,338.1,17.8,840.6
5,1041,318,13.9,821.3
5.1,1027.8,300.8,13.8,813
5.2,1016.5,276,11.2,785.7
5.3,987,252.8,10.2,781.7
5.4,1002.3,242.4,8.1,731.7
5.5,956.8,215.2,7.1,713.7
5.6,930,187.5,7.2,688.1
5.7,920,176,7.2,669.9
5.8,871.6,153.2,7.4,638.9
5.9,860.1,143.3,7.9,598.8
6,834.5,127.9,8.5,573.4
6.1,838.2,115.5,29.4,566.7
6.2,997.8,118.9,132.4,679.3
6.3,1375.3,164,319.6,926.6
6.4,1517.5,165,413.5,1016.7
6.5,1464.4,152.9,403.7,943.8
6.6,1010.3,90.9,251.2,632.8
6.7,742.1,65.4,174.2,444.9
6.8,695.6,74.1,147.6,412
6.9,717.7,155.1,146.5,407.2
7,1011.3,531.2,197.5,584.7
7.1,2173.8,1454.8,462.9,1278.8
7.2,2706.8,1838.2,555.4,1590.7
7.3,2684.3,1803.4,542.8,1571.8
7.4,1697.2,1075.3,290,935.1
7.5,713.6,445.3,100,370.4
7.6,512.1,314.3,68.7,251.5
7.7,486.3,280.1,60.3,235.1
7.8,484.4,282.6,50.4,226.1
7.9,452.8,260.8,44.2,221.5
8,438.3,242.5,41.9,221.8
8.1,429.3,227.4,37.6,212.7
8.2,422.9,220.1,35.1,205.1
8.3,407.6,216,29.2,198.7
8.4,401.8,208.4,27.1,195.3
8.5,383.9,191.7,26.4,193.7
8.6,380.2,191.1,22,190.6
8.7,380.2,172.9,21.4,185.1
8.8,359.8,171.7,20.5,184.2
8.9,344.8,153.2,19.7,172.6
9,351.8,143.6,17.2,166.5
9.1,338.6,144,16.4,157.7
9.2,318.4,136.7,18.3,160.5
9.3,297.5,132.9,15.7,153.4
9.4,290.2,125.7,15.5,155
9.5,274.5,112.9,12.7,145.5
9.6,265.8,114.4,13.2,146.2
9.7,257.7,109.9,13.8,144.8
9.8,249.5,101.2,11.9,136.3
9.9,232.8,104.4,12.5,136.2
10,229.2,93.8,12.7,135.7
10.1,222.8,86.9,12.9,137.9
10.2,218.8,88.3,11.9,125.9
10.3,210.7,80.7,13.7,121.2
10.4,203.6,85.1,11.8,123.6
10.5,192.2,77.6,11.9,121.6
10.6,192.3,71.4,12.3,117.3
10.7,190.6,70.9,12.3,121.3
10.8,182.2,70.9,11.4,116.5
10.9,177.7,71.4,13.1,111.5
11,165.6,63.4,10,110
11.1,172.1,57.9,11.2,105.4
11.2,177.1,54.3,10.1,104.5
11.3,165.3,56.5,10.5,108.2
11.4,160.4,56.5,12.3,109.7
11.5,160.5,54.1,10,100.7
11.6,156.3,53.8,11.5,101.2
11.7,149.7,57.3,9,99.3
11.8,139.9,54.2,9.2,110.5
11.9,144.1,53,9,100.4
12,153.2,51.9,10.5,100.1
